name,name_en,railway,ele,operator_t,layer,addr_full,addr_city,source,name_hi,name_ta,osm_id,osm_type,geometry
,,rail,,,,,,,,,26264238,ways_line,
,,rail,,,,,,,,,205006856,ways_line,
,,rail,,,,,,landsat,,,247302097,ways_line,
,,rail,,,,,,,,,373863823,ways_line,
Gorakhpur - Sonepur railway,,rail,,,,,,Bing,,,385383131,ways_line,
,,rail,,,,,,,,,699331946,ways_line,
,,rail,,,,,,landsat,,,812973718,ways_line,
Gorakhpur - Sonepur railway,,rail,,,,,,landsat,,,1316837753,ways_line,
,,rail,,,,,,,,,815963007,ways_line,
,,rail,,,,,,,,,815963038,ways_line,
,,rail,,,,,,,,,1316837777,ways_line,
,,rail,,,,,,,,,1316837874,ways_line,
Prayagraj - Jaunpur railway,,rail,,,,,,,,,1316837947,ways_line,
,,rail,,,,,,,,,629618350,ways_line,
,,rail,,,,,,,,,1316837775,ways_line,
,,rail,,,,,,,,,1316837799,ways_line,
,,rail,,,,,,,,,205006967,ways_line,
Prayagraj - Jaunpur railway,,rail,,,,,,,,,28455562,ways_line,
,,rail,,,,,,,,,205006837,ways_line,
,,rail,,,,,,landsat,,,207695944,ways_line,
Aunrihar - Bhatni railway,,rail,,,,,,,,,231265594,ways_line,
,,rail,,,,,,,,,244745066,ways_line,
,,rail,,,,,,,,,244745069,ways_line,
,,rail,,,,,,,,,286902865,ways_line,
,,rail,,,,,,landsat,,,336707023,ways_line,
,,rail,,,,,,,,,336707038,ways_line,
,,rail,,,,,,,,,661800945,ways_line,
,,rail,,,,,,,,,692703758,ways_line,
,,rail,,,,,,,,,699331945,ways_line,
Gorakhpur - Sonepur railway,,rail,,,,,,Bing,,,813981428,ways_line,
Janghai Junction,,rail,,,,,,landsat,,,815962973,ways_line,
,,rail,,,,,,,,,816146571,ways_line,
,,rail,,,,,,landsat,,,816181011,ways_line,
,,rail,,,1,,,,,,816339889,ways_line,
Varanasi - Pratapgarh railway,,rail,,,,,,landsat,,,915505167,ways_line,
,,rail,,,,,,,,,1007642643,ways_line,
,,rail,,,,,,landsat,,,1316837781,ways_line,
,,rail,,,,,,,,,1316837782,ways_line,
Janghai Junction,,rail,,,,,,landsat,,,1316837783,ways_line,
,,rail,,,,,,,,,1316837784,ways_line,
Janghai Junction,,rail,,,,,,landsat,,,1316837785,ways_line,
,,rail,,,,,,,,,1316837800,ways_line,
,,rail,,,,,,,,,1316837801,ways_line,
Gorakhpur - Sonepur railway,,rail,,,,,,Bing,,,1316837809,ways_line,
Gorakhpur - Sonepur railway,,rail,,,,,,Bing,,,1316837810,ways_line,
,,rail,,,,,,,,,1316837811,ways_line,
,,rail,,,,,,,,,1316837814,ways_line,
,,rail,,,1,,,,,,1316837815,ways_line,
,,rail,,,,,,,,,1316837816,ways_line,
Janghai Junction,,rail,,,,,,landsat,,,1316837817,ways_line,
Varanasi - Pratapgarh railway,,rail,,,,,,landsat,,,1316837818,ways_line,
,,rail,,,,,,,,,1316837819,ways_line,
Prayagraj - Jaunpur railway,,rail,,,,,,,,,1316837820,ways_line,
Prayagraj - Jaunpur railway,,rail,,,,,,,,,1316837821,ways_line,
Prayagraj - Jaunpur railway,,rail,,,,,,,,,1316837822,ways_line,
Prayagraj - Jaunpur railway,,rail,,,,,,,,,1316837823,ways_line,
,,rail,,,,,,,,,1316837828,ways_line,
,,rail,,,,,,,,,1316837829,ways_line,
,,rail,,,,,,,,,1316837830,ways_line,
,,rail,,,,,,,,,1316837831,ways_line,
,,rail,,,,,,,,,1316837832,ways_line,
,,rail,,,,,,,,,1316837833,ways_line,
,,rail,,,,,,,,,1316837836,ways_line,
,,rail,,,,,,,,,1316837837,ways_line,
,,rail,,,,,,,,,1316837838,ways_line,
,,rail,,,,,,,,,1316837840,ways_line,
,,rail,,,,,,,,,1316837844,ways_line,
,,rail,,,,,,,,,1316837845,ways_line,
,,rail,,,,,,,,,1316837849,ways_line,
,,rail,,,,,,,,,1316837850,ways_line,
,,rail,,,,,,,,,1316837856,ways_line,
,,rail,,,,,,,,,1316837858,ways_line,
,,rail,,,,,,,,,1316837859,ways_line,
,,rail,,,,,,,,,1316837864,ways_line,
,,rail,,,,,,,,,1316837865,ways_line,
,,rail,,,1,,,,,,1316837868,ways_line,
,,rail,,,,,,,,,1316837869,ways_line,
,,rail,,,,,,,,,1316837870,ways_line,
,,rail,,,,,,,,,1316837871,ways_line,
,,rail,,,,,,,,,1316837872,ways_line,
,,rail,,,,,,,,,1316837930,ways_line,
Prayagraj - Jaunpur railway,,rail,,,,,,,,,1316837933,ways_line,
Prayagraj - Jaunpur railway,,rail,,,,,,,,,1316837934,ways_line,
Prayagraj - Jaunpur railway,,rail,,,,,,,,,1316837936,ways_line,
,,rail,,,,,,,,,1316837939,ways_line,
Prayagraj - Jaunpur railway,,rail,,,,,,,,,1316837944,ways_line,
Prayagraj - Jaunpur railway,,rail,,,,,,,,,1316837945,ways_line,
Prayagraj - Jaunpur railway,,rail,,,,,,,,,1316837946,ways_line,
Prayagraj - Jaunpur railway,,rail,,,,,,,,,1316837948,ways_line,
,,rail,,,,,,,,,1316838002,ways_line,
,,rail,,,,,,,,,1316838003,ways_line,
,,rail,,,,,,,,,28800110,ways_line,
,,rail,,,,,,landsat,,,364255917,ways_line,
,,rail,,,,,,,,,522148799,ways_line,
,,rail,,,,,,,,,522148822,ways_line,
,,rail,,,,,,,,,550401302,ways_line,
Gorakhpur - Sonepur railway,,rail,,,,,,landsat,,,764128337,ways_line,
Howrah - Delhi Railway,,rail,,,,,,,,,815987094,ways_line,
,,rail,,,,,,,,,818109886,ways_line,
,,rail,,,,,,,,,1123930936,ways_line,
,,rail,,,,,,,,,1123930941,ways_line,
,,rail,,,,,,,,,1315758438,ways_line,
Gorakhpur - Sonepur railway,,rail,,,,,,landsat,,,1316837752,ways_line,
Gorakhpur - Sonepur railway,,rail,,,,,,landsat,,,1316837754,ways_line,
Aunrihar - Bhatni railway,,rail,,,,,,landsat,,,1316837755,ways_line,
Aunrihar - Bhatni railway,,rail,,,,,,,,,1316837757,ways_line,
Aunrihar - Bhatni railway,,rail,,,,,,,,,1316837758,ways_line,
Aunrihar - Bhatni railway,,rail,,,,,,,,,1316837760,ways_line,
,,rail,,,,,,,,,1316837771,ways_line,
,,rail,,,,,,landsat,,,1316837772,ways_line,
,,rail,,,,,,,,,1316837773,ways_line,
,,rail,,,,,,landsat,,,1316837774,ways_line,
Howrah - Delhi Railway,,rail,,,,,,,,,1316837776,ways_line,
,,rail,,,,,,landsat,,,1316837779,ways_line,
,,rail,,,,,,,,,1316837780,ways_line,
,,rail,,,,,,,,,1316837790,ways_line,
,,rail,,,,,,,,,1316837791,ways_line,
,,rail,,,,,,,,,1316837792,ways_line,
,,rail,,,,,,,,,1316837794,ways_line,
,,rail,,,,,,,,,1316837834,ways_line,
,,rail,,,,,,,,,1316837835,ways_line,
,,rail,,,,,,,,,1316837841,ways_line,
,,rail,,,,,,,,,1316837847,ways_line,
,,rail,,,,,,,,,1316837848,ways_line,
,,rail,,,,,,,,,1316837857,ways_line,
,,rail,,,,,,,,,1316837862,ways_line,
,,rail,,,,,,,,,1316837863,ways_line,
,,rail,,,,,,,,,1316837866,ways_line,
,,rail,,,,,,,,,1316837873,ways_line,
,,rail,,,,,,,,,1316837875,ways_line,
,,rail,,,,,,,,,1316837931,ways_line,
Prayagraj - Jaunpur railway,,rail,,,,,,,,,1316837932,ways_line,
,,rail,,,,,,,,,1316837938,ways_line,
Prayagraj - Jaunpur railway,,rail,,,,,,,,,1316837943,ways_line,
,,rail,,,,,,,,,1316837999,ways_line,
,,rail,,,,,,,,,1316838000,ways_line,
,,rail,,,,,,,,,1316838001,ways_line,
,,rail,,,,,,,,,1316838004,ways_line,
,,rail,,,1,,,landsat,,,1323329480,ways_line,
,,rail,,,,,,landsat,,,1323329477,ways_line,
,,rail,,,,,,landsat,,,308952773,ways_line,
,,rail,,,,,,,,,1323329472,ways_line,
,,rail,,,1,,,landsat,,,1323329476,ways_line,
,,rail,,,1,,,landsat,,,1323329478,ways_line,
,,rail,,,,,,landsat,,,1323329479,ways_line,
,,rail,,,,,,landsat,,,1323329502,ways_line,
,,rail,,,,,,,,,1236221670,ways_line,
Haridaspur - Chandikhol - Kendrapara - Paradeep new line (u/c),,rail,,,,,,,,,672813650,ways_line,
,,rail,,,,,,,,,1323329471,ways_line,
,,rail,,,,,,,,,1323329470,ways_line,
,,rail,,,,,,landsat,,,1323329473,ways_line,
,,rail,,,1,,,landsat,,,1323329474,ways_line,
,,rail,,,,,,landsat,,,1323329475,ways_line,
,,rail,,,1,,,landsat,,,1323329503,ways_line,
,,rail,,,,,,,,,115712063,ways_line,
,,rail,,,,,,landsat,,,760988894,ways_line,
,,rail,,,,,,,,,760988896,ways_line,
,,rail,,,1,,,,,,1296796318,ways_line,
,,rail,,,1,,,,,,31794208,ways_line,
,,rail,,,1,,,,,,31794204,ways_line,
,,rail,,,,,,landsat,,,59532163,ways_line,
,,rail,,,,,,landsat,,,59532168,ways_line,
,,rail,,,,,,,,,292405218,ways_line,
,,rail,,,,,,landsat,,,654154061,ways_line,
,,rail,,,,,,,,,654154066,ways_line,
,,rail,,,,,,Esri;bing,,,762365054,ways_line,
,,rail,,,1,,,landsat,,,762539678,ways_line,
,,rail,,,,,,Esri;bing,,,762365059,ways_line,
,,rail,,,,,,landsat,,,762539682,ways_line,
,,rail,,,,,,,,,762365053,ways_line,
,,rail,,,,,,,,,762534123,ways_line,
Howrah - Delhi Railway,,rail,,,,,,,,,608934565,ways_line,
Howrah - Delhi Railway,,rail,,,,,,,,,102470556,ways_line,
Chord link Line,,rail,,,,,,,,,521277369,ways_line,
Chord link Line,,rail,,,,,,,,,381069379,ways_line,
Delhi - Kalka Line,,rail,,,,,,,,,258024674,ways_line,
,,rail,,,,,,,,,1316858945,ways_line,
,,rail,,,,,,,,,1316837793,ways_line,
,,rail,,,,,,landsat,,,1316858922,ways_line,
,,rail,,,1,,,,,,32367655,ways_line,
,,rail,,,,,,,,,629618361,ways_line,
,,rail,,,,,,,,,205006857,ways_line,
,,rail,,,,,,landsat,,,226609772,ways_line,
,,rail,,,,,,landsat,,,400585296,ways_line,
Gorakhpur - Sonepur railway,,rail,,,,,,landsat,,,608444302,ways_line,
Aunrihar - Bhatni railway,,rail,,,,,,landsat,,,629788667,ways_line,
,,rail,,,,,,,,,662169591,ways_line,
,,rail,,,,,,landsat,,,699324682,ways_line,
Gorakhpur - Sonepur railway,,rail,,,,,,landsat,,,764128334,ways_line,
,,rail,,,,,,,,,813162424,ways_line,
,,rail,,,,,,,,,816235365,ways_line,
Aunrihar - Bhatni railway,,rail,,,,,,,,,1316837759,ways_line,
,,rail,,,,,,,,,1316837763,ways_line,
,,rail,,,,,,,,,1316858911,ways_line,
,,rail,,,,,,landsat,,,1316858912,ways_line,
,,rail,,,,,,,,,1316858913,ways_line,
,,rail,,,,,,,,,1316858914,ways_line,
,,rail,,,,,,,,,1316858915,ways_line,
,,rail,,,,,,landsat,,,1316858916,ways_line,
,,rail,,,,,,,,,1316858917,ways_line,
,,rail,,,,,,,,,1316858918,ways_line,
,,rail,,,,,,,,,1316858919,ways_line,
,,rail,,,,,,,,,1316858920,ways_line,
,,rail,,,,,,landsat,,,1316858921,ways_line,
,,rail,,,,,,,,,1316858923,ways_line,
,,rail,,,,,,,,,1316858924,ways_line,
,,rail,,,,,,,,,1316858946,ways_line,
,,rail,,,,,,,,,1316858947,ways_line,
,,rail,,,,,,,,,1316858948,ways_line,
,,rail,,,,,,,,,1316858949,ways_line,
Gorakhpur - Sonepur railway,,rail,,,,,,landsat,,,1316858951,ways_line,
Aunrihar - Bhatni railway,,rail,,,,,,landsat,,,1316858952,ways_line,
Aunrihar - Bhatni railway,,rail,,,,,,landsat,,,1316858953,ways_line,
Gorakhpur - Sonepur railway,,rail,,,,,,landsat,,,1316858954,ways_line,
Gorakhpur - Sonepur railway,,rail,,,,,,landsat,,,1316858955,ways_line,
,,rail,,,,,,,,,1316858956,ways_line,
Aunrihar - Bhatni railway,,rail,,,,,,,,,1316858957,ways_line,
,,rail,,,,,,,,,1316858958,ways_line,
Aunrihar - Bhatni railway,,rail,,,,,,,,,1316858959,ways_line,
,,rail,,,,,,landsat,,,1316858960,ways_line,
Central Line (Fast),,rail,,,,,,,,,1316858961,ways_line,
,,rail,,,,,,,,,1316858962,ways_line,
,,rail,,,,,,,,,1316858963,ways_line,
,,rail,,,,,,,,,1316858964,ways_line,
,,rail,,,,,,,,,1316858966,ways_line,
,,rail,,,,,,Bing,,,1316858971,ways_line,
Aunrihar - Bhatni railway,,rail,,,,,,,,,87755497,ways_line,
,,rail,,,,,,,,,207915451,ways_line,
,,rail,,,,,,,,,226609734,ways_line,
,,rail,,,,,,,,,247302102,ways_line,
Central Line (Fast),,rail,,,,,,,,,397789314,ways_line,
,,rail,,,,,,,,,804478532,ways_line,
,,rail,,,,,,,,,816181027,ways_line,
,,rail,,,,,,landsat,,,207701850,ways_line,
,,rail,,,,,,,,,207704291,ways_line,
,,rail,,,,,,,,,383026101,ways_line,
Gorakhpur - Sonepur railway,,rail,,,,,,landsat,,,607502321,ways_line,
,,rail,,,,,,,,,1316767101,ways_line,
Howrah - Chennai Main Line,,rail,,,,,,,,,245026737,ways_line,
Howrah - Chennai Main Line,,rail,,,,,,,,,245026760,ways_line,
,,rail,,,,,,,,,694114813,ways_line,
,,rail,,,,,,,,,1236221668,ways_line,
,,rail,,,,,,,,,1296796309,ways_line,
,,rail,,,,,,,,,1314755219,ways_line,
,,rail,,,1,,,,,,1314755220,ways_line,
,,rail,,,1,,,,,,1314755221,ways_line,
,,rail,,,,,,,,,1314755223,ways_line,
,,rail,,,1,,,,,,1314755234,ways_line,
