name,name_en,railway,ele,operator_t,layer,addr_full,addr_city,source,name_hi,name_ta,osm_id,osm_type,geometry
Banisar,,station,,,,,,,,,1910223237,nodes,POINT (73.894118 28.0670125)
Deswal,,station,,,,,,,,,1942486354,nodes,POINT (73.8873115 26.8436167)
Palana,,station,,,,,,,,,1942486360,nodes,POINT (73.2729363 27.8524127)
Khunkhuna,,station,,,,,,,,,1942875681,nodes,POINT (74.4927199 27.2779872)
Napasar,,station,,,,,,,,,360366732,nodes,POINT (73.5637013 27.9810152)
Gotan,,station,,,,,,,,,2189862833,nodes,POINT (73.7379902 26.6526809)
Marwar Balia,,station,,,,,,,,,1942875718,nodes,POINT (74.5454744 27.3584004)
Parhihara,,station,,,,,,,,,1942875733,nodes,POINT (74.5497574 27.9214219)
Hunasenahalli,,station,,,,,,,,,2559416716,nodes,POINT (77.9467135 13.4003265)
Chintamani,,station,,,,,,,,சிந்தாமணி,2559419936,nodes,POINT (78.0539956 13.4109883)
Hebbal,,station,,,,,,,,,2967312447,nodes,POINT (77.5862489 13.0425476)
Banaswadi,,station,,,,,,,,,443807288,nodes,POINT (77.6281321 13.0058357)
Chikballapur,,station,,,,,,,,,737744285,nodes,POINT (77.7321433 13.4274405)
Sidlagatta,,station,,,,,,,,,1404460876,nodes,POINT (77.8641538 13.3920709)
Srinivasapura,,station,,,,,,,श्रीनिवासपुर,,4142582908,nodes,POINT (78.2067074 13.3288336)
Toppur,,station,,,,,,bing,,,4688900455,nodes,POINT (78.0700793 11.9315838)
Bisanattam,,station,,,,,,,,,248543525,nodes,POINT (78.2498583 12.8422451)
Patchur,,station,,,,,,,,,248543770,nodes,POINT (78.4697329 12.5865309)
Dasampatti,,station,,,,,,,,,5615288613,nodes,POINT (78.4396477 12.2519985)
Buddireddippatti,,station,,,,,,,,,5616004256,nodes,POINT (78.3137514 12.0463079)
Bommidi,,station,,,,,,,बोम्मिडि,பொம்மிடி,5616004257,nodes,POINT (78.2459633 11.984149)
Sivadi,,station,,,,,,,,,6017330755,nodes,POINT (78.1182781 12.0390657)
Gudupulli,,station,,,,,,,,,6064300323,nodes,POINT (78.2747707 12.8034773)
Kazipet Junction,,station,,,,,,,,,5409557426,nodes,POINT (79.5112685 17.9748271)
Faridabad,,station,,,,,,,,,1572649890,nodes,POINT (77.3070774 28.4107617)
Kasargod,,station,,,,,,,,,1141008004,nodes,POINT (74.9877613 12.4914722)
Malliyala,,station,,,,,,,,,603465448,nodes,POINT (77.7753409 15.3969207)
Linganenidoddi,,station,,,,,,,,,2526937222,nodes,POINT (77.7030377 15.3989572)
Nagarur,,station,,,,,,,,,2527980610,nodes,POINT (77.3136308 15.5428674)
Kalayat,,station,,,,,,,,,2629256394,nodes,POINT (76.2281685 29.678942)
Sajuma,,station,,,,,,,,,2629261070,nodes,POINT (76.2958719 29.7267534)
Pehowa Road,,station,,,,,,,,,2636626122,nodes,POINT (76.6210932 29.8840783)
Bhopalka,,station,,,,,,,,,5778923681,nodes,POINT (69.3686012 22.1226506)
Dhirpur,,station,,,,,,,,,345195495,nodes,POINT (76.8444394 30.0664157)
Pendekallu Junction,,station,,,,,,,,,603465403,nodes,POINT (77.6485895 15.3743039)
Hansi,,station,,,,,,,हांसी,,1943016470,nodes,POINT (75.9474465 29.0881334)
Naloi Barwa,,station,,,,,,,,,1944510141,nodes,POINT (75.6241333 28.9635296)
Dhamtan Sahib,,station,,,,,,,,,3184988384,nodes,POINT (76.0062911 29.6873919)
Dharodi,,station,,,,,,,,,3184988387,nodes,POINT (76.0559201 29.6396593)
